                                                     car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                     
 PA-1500107-45BCFB5F52B04CC58FBBC13C6E96A2A9;3.7570;PA;Abaetetuba;0.0537;IRU;AT;Aguardando analise
 PA-1500107-66295932180E456EB51B87C31A8B90C0;91.0769;PA;Abaetetuba;1.3011;IRU;AT;Aguardando analise
 PA-1500107-86C4828935D7441AA58CB826D9602067;1.4598;PA;Abaetetuba;0.0209;IRU;AT;Aguardando analise
 PA-1500107-CA1E3DF98807401CAA03A2890043578D;391.7119;PA;Abaetetuba;5.5959;IRU;AT;Aguardando analise
 PA-1500107-6D6591056F4344158233FA1CF5FEA9FD;1.9735;PA;Abaetetuba;0.0282;IRU;AT;Aguardando analise
 PA-1500107-906799F42DA046E3B35E21952ED4F9EC;1.1042;PA;Abaetetuba;0.0158;IRU;AT;Aguardando analise
 PA-1500107-4DCBF02400614D7A86E1F280B3696541;1.6014;PA;Abaetetuba;0.0229;IRU;AT;Aguardando analise
 PA-1500107-AD4C430CB9DF4BEFA4432EEF77298B3F;5.6433;PA;Abaetetuba;0.0806;IRU;AT;Aguardando analise
 PA-1500107-4BF861D5759C450EA4369C136621A669;1.4842;PA;Abaetetuba;0.0212;IRU;AT;Aguardando analise
 PA-1500107-37DB61504A574BB482B0AD5E656E0C93;74.0731;PA;Abaetetuba;1.0582;IRU;AT;Aguardando analise
 PA-1500107-8BE6588107EE447CAA4550B649B4188F;1.6037;PA;Abaetetuba;0.0229;IRU;AT;Aguardando analise
 PA-1500107-44CD074D7625498E931E74825E35BE07;39.2945;PA;Abaetetuba;0.5614;IRU;AT;Aguardando analise
 PA-1500107-E7BDA55BC013401D875ADDC7AB8102D5;11.7911;PA;Abaetetuba;0.1684;IRU;AT;Aguardando analise
 PA-1500107-C3DF494C5A4F4F81837D6EC949DE4D88;67.2018;PA;Abaetetuba;0.9600;IRU;AT;Aguardando analise
 PA-1500107-A86747E258044A5CAE2D31C09E119944;3.1056;PA;Abaetetuba;0.0444;IRU;AT;Aguardando analise
 PA-1500107-A91F69BDFD7E49DA8048265D2CD6A36A;4.6757;PA;Abaetetuba;0.0668;IRU;AT;Aguardando analise
 PA-1500107-04691052E9A44E8C960A0852AF28ECCF;4.0123;PA;Abaetetuba;0.0573;IRU;AT;Aguardando analise
 PA-1500107-2DD351F377934398A3B2F69BE235D873;1.0079;PA;Abaetetuba;0.0144;IRU;AT;Aguardando analise
 PA-1500107-46420F881F7E4F50B0BE46DB83D15F30;0.9336;PA;Abaetetuba;0.0133;IRU;AT;Aguardando analise
 PA-1500107-4C65104F36C44218AB5FC15D0048733A;496.9867;PA;Abaetetuba;7.0998;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 PA-1500107-896488216DE04279BC3F2E40C0E32706;13.6784;PA;Abaetetuba;0.1954;IRU;AT;Aguardando analise
 PA-1500107-614635732E9A4589A656D780895BB78D;22.6694;PA;Abaetetuba;0.3238;IRU;AT;Aguardando analise
 PA-1500107-0E278802F77C435B818F2120BC52B3F8;8.6966;PA;Abaetetuba;0.1242;IRU;AT;Aguardando analise
 PA-1500107-E1AAD58FE1954234B88172676653777A;18.5051;PA;Abaetetuba;0.2644;IRU;AT;Aguardando analise
 PA-1500107-690814E9733349BCA2152CF96865CF5E;24.9074;PA;Abaetetuba;0.3558;IRU;AT;Aguardando analise
 PA-1500107-EC8A20C1C71047EE8B11997692D2CA14;26.7314;PA;Abaetetuba;0.3819;IRU;AT;Aguardando analise
 PA-1500107-079B44B4408B45BE804B1257858185AB;245.2547;PA;Abaetetuba;3.5036;IRU;AT;Aguardando analise
 PA-1500107-F11803C6B29F43BDAB825ADA92EC5287;97.0426;PA;Abaetetuba;1.3863;IRU;AT;Aguardando analise
 PA-1500107-4E690A850BDB4EE0B60C289365C3B374;42.8514;PA;Abaetetuba;0.6122;IRU;AT;Aguardando analise
 PA-1500107-A54FF439AF0F4FE087CA14DAC181B258;5.1195;PA;Abaetetuba;0.0731;IRU;AT;Aguardando analise
 PA-1500107-B0D904CBA33C4DB4B4D699F18794D5B5;1.8325;PA;Abaetetuba;0.0262;IRU;AT;Aguardando analise
 PA-1500107-F2CADFF76ED742C687B4F28CFB22C958;212.8523;PA;Abaetetuba;4.0000;PCT;AT;Aguardando analise
 PA-1500107-C432FE64921E4CAF8DED5AF4971ACB8D;1107.1200;PA;Abaetetuba;4.0000;PCT;AT;Aguardando analise
 PA-1500107-607C28AEDAC34F2BBFE965E91B73B406;959.1282;PA;Abaetetuba;4.0000;PCT;AT;Aguardando analise
 PA-1500107-4A0A00C25EE443B9A529157A3C8D0DFE;3.9087;PA;Abaetetuba;0.0558;IRU;AT;Aguardando analise
 PA-1500107-C43A259957954B2BAAF3A0BE0DEA6D88;2.8085;PA;Abaetetuba;0.0401;IRU;AT;Aguardando analise
 PA-1500107-8E8ED92AF5124FE48B3EF01EE5D41E5B;4.2631;PA;Abaetetuba;0.0609;IRU;AT;Aguardando analise
 PA-1500107-F4E756880F684D6DA48CDAFFEC9ED6AB;3.8613;PA;Abaetetuba;0.0552;IRU;AT;Aguardando analise
 PA-1500107-1C0AB5BF303D493CB8428173B5D2680F;6.2446;PA;Abaetetuba;0.0892;IRU;AT;Aguardando analise
 PA-1500107-0DF43C0C42134E1EB6AD4304D80466E3;1.2845;PA;Abaetetuba;0.0184;IRU;AT;Aguardando analise
 PA-1500107-7BFC714AB2B5415A90E5357161F73078;6.3209;PA;Abaetetuba;0.0903;IRU;AT;Aguardando analise
 PA-1500107-D8B7927B2A874E818477251413C56417;6.2004;PA;Abaetetuba;0.0886;IRU;AT;Aguardando analise
 PA-1500107-F83ED3C7CF534769A749C4A4BFCC1521;25.5294;PA;Abaetetuba;0.3647;IRU;AT;Aguardando analise
 PA-1500107-1C7494082FA244D594C01579BF23DD64;3.8541;PA;Abaetetuba;0.0551;IRU;AT;Aguardando analise
 PA-1500107-003027D8E2544FFC9DAE6FEA367D9516;5.7005;PA;Abaetetuba;0.0814;IRU;AT;Aguardando análise, não passível de revisão de dados
 PA-1500107-5BA3853C65F5498D9BE533D71A71FC1E;0.4350;PA;Abaetetuba;0.0062;IRU;AT;Aguardando analise
