"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Sudoeste Paraense";"DIM_ECONOMICA";41,908;3;2;"1507805,1503754,1505486"
"Sudoeste Paraense";"DIM_SOCIAL";34,77;3;2;"1507805,1503754,1505486"
"Metropolitana de Belém";"DIM_AMBIENTAL";62,6927777777778;3;2;"1501501,1507003,1506351"
"Metropolitana de Belém";"DIM_ECONOMICA";53,703;3;2;"1501501,1507003,1506351"
"Metropolitana de Belém";"DIM_SOCIAL";54,3726666666667;3;2;"1501501,1507003,1506351"
"Nordeste Paraense";"DIM_AMBIENTAL";55,4386666666667;5;2;"1504109,1501600,1502202,1504604,1507474"
"Nordeste Paraense";"DIM_ECONOMICA";43,6374;5;2;"1504109,1501600,1502202,1504604,1507474"
"Nordeste Paraense";"DIM_SOCIAL";51,9676;5;2;"1504109,1501600,1502202,1504604,1507474"
"Sudeste Paraense";"DIM_AMBIENTAL";43,3013333333333;5;2;"1505437,1503705,1506161,1502707,1505635"
"Sudeste Paraense";"DIM_ECONOMICA";50,3764;5;2;"1505437,1503705,1506161,1502707,1505635"
"Sudeste Paraense";"DIM_SOCIAL";48,9812;5;2;"1505437,1503705,1506161,1502707,1505635"
"Marajó";"DIM_AMBIENTAL";47,904;5;2;"1507706,1503101,1504901,1502004,1504505"
"Marajó";"DIM_ECONOMICA";39,072;5;2;"1507706,1503101,1504901,1502004,1504505"
"Marajó";"DIM_SOCIAL";34,6616;5;2;"1507706,1503101,1504901,1502004,1504505"
"Baixo Amazonas";"DIM_AMBIENTAL";46,0153333333333;5;2;"1500404,1500503,1506807,1505304,1501451"
"Baixo Amazonas";"DIM_ECONOMICA";45,2236;5;2;"1500404,1500503,1506807,1505304,1501451"
"Baixo Amazonas";"DIM_SOCIAL";47,0196;5;2;"1500404,1500503,1506807,1505304,1501451"
"Sudoeste Paraense";"DIM_AMBIENTAL";42,101;5;2;"1505486,1503606,1501725,1507805,1506195"
"Sudoeste Paraense";"DIM_ECONOMICA";42,2508;5;2;"1505486,1503606,1501725,1507805,1506195"
"Sudoeste Paraense";"DIM_SOCIAL";41,6636;5;2;"1505486,1503606,1501725,1507805,1506195"
"Metropolitana de Belém";"DIM_AMBIENTAL";66,062;5;2;"1502400,1504422,1501402,1503408,1506351"
"Metropolitana de Belém";"DIM_ECONOMICA";56,019;5;2;"1502400,1504422,1501402,1503408,1506351"
"Metropolitana de Belém";"DIM_SOCIAL";58,1012;5;2;"1502400,1504422,1501402,1503408,1506351"
"Nordeste Paraense";"DIM_AMBIENTAL";45,4366666666667;7;2;"1501709,1507201,1500958,1508035,1503200,1501204,1507409"
"Nordeste Paraense";"DIM_ECONOMICA";40,6634285714286;7;2;"1501709,1507201,1500958,1508035,1503200,1501204,1507409"
"Nordeste Paraense";"DIM_SOCIAL";42,9565714285714;7;2;"1501709,1507201,1500958,1508035,1503200,1501204,1507409"
"Sudeste Paraense";"DIM_AMBIENTAL";49,7140476190476;7;2;"1505064,1501253,1502152,1502939,1505536,1501758,1508407"
"Sudeste Paraense";"DIM_ECONOMICA";52,5984285714286;7;2;"1505064,1501253,1502152,1502939,1505536,1501758,1508407"
"Sudeste Paraense";"DIM_SOCIAL";48,2028571428571;7;2;"1505064,1501253,1502152,1502939,1505536,1501758,1508407"
"Marajó";"DIM_AMBIENTAL";48,775;7;2;"1500701,1507706,1503101,1502806,1506302,1504901,1504505"
"Marajó";"DIM_ECONOMICA";39,4455714285714;7;2;"1500701,1507706,1503101,1502806,1506302,1504901,1504505"
"Marajó";"DIM_SOCIAL";35,9951428571429;7;2;"1500701,1507706,1503101,1502806,1506302,1504901,1504505"
