Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2020,Incremento20192020,Floresta2020,Nuvem2020,NaoObservado2020,NaoFloresta2020,Hidrografia2020,Soma 
 98,-4.20041,-47.82354,S 4 12 1.48,O 47 49 24.74,Dom Eliseu,1502939,PA,5296,3539.7,26.6,1738.2,18.1,0.0,0.0,0.0,100
 99,-0.70617,-47.85268,S 0 42 22.21,O 47 51 9.65,Curuçá,1502905,PA,675,276.2,0.9,328.8,0.1,0.0,0.9,69.0,99
 100,-1.78297,-55.10334,S 1 46 58.69,O 55 6 12.02,Curuá,1502855,PA,1430,378.1,9.5,312.2,0.0,0.0,272.6,467.1,99
 101,-1.56776,-50.04488,S 1 34 3.94,O 50 2 41.57,Curralinho,1502806,PA,3626,206.4,1.1,2790.7,16.8,0.0,241.5,370.6,99
 102,-6.25014,-49.69278,S 6 15 0.50,O 49 41 34.01,Curionópolis,1502772,PA,2375,2068.2,3.7,302.2,0.0,0.0,4.6,0.0,99
 103,-8.50875,-51.37212,S 8 30 31.50,O 51 22 19.63,Cumaru do Norte,1502764,PA,17105,7481.2,69.8,8187.8,0.0,0.0,1436.0,0.0,100
 104,-1.87841,-47.97492,S 1 52 42.28,O 47 58 29.71,Concórdia do Pará,1502756,PA,695,614.5,0.8,80.2,0.0,0.0,0.0,0.3,100
 105,-8.20672,-49.54786,S 8 12 24.19,O 49 32 52.30,Conceição do Araguaia,1502707,PA,5847,3103.3,2.1,751.8,0.0,0.0,1874.8,117.1,100
 106,-0.89755,-48.27572,S 0 53 51.18,O 48 16 32.59,Colares,1502608,PA,612,90.8,0.1,132.7,0.0,0.0,15.9,372.6,100
 107,0.01942,-49.88506,N 0 1 9.91,O 49 53 6.22,Chaves,1502509,PA,13116,99.9,0.1,3193.3,824.9,0.0,5236.2,3761.7,100
 108,-1.26528,-47.93713,S 1 15 55.01,O 47 56 13.67,Castanhal,1502400,PA,1034,907.2,0.8,125.7,0.0,0.0,0.0,1.1,100
 109,-2.06616,-47.25773,S 2 3 58.18,O 47 15 27.83,Capitão Poço,1502301,PA,2924,2579.0,1.2,340.3,0.9,0.0,2.0,1.8,100
 110,-1.18797,-47.12751,S 1 11 16.69,O 47 7 39.04,Capanema,1502202,PA,619,519.1,0.5,67.9,0.1,0.0,29.5,2.4,100
 111,-6.48129,-50.03153,S 6 28 52.64,O 50 1 53.51,Canaã dos Carajás,1502152,PA,3156,1748.2,2.0,1302.1,0.0,0.0,105.6,0.1,100
 112,-2.28082,-49.51546,S 2 16 50.95,O 49 30 55.66,Cametá,1502103,PA,3090,1119.1,0.4,864.7,0.0,0.0,657.9,448.3,100
 113,-2.01070,-46.41077,S 2 0 38.52,O 46 24 38.77,Cachoeira do Piriá,1501956,PA,2465,1545.5,26.9,905.9,5.2,0.0,0.0,8.4,100
 114,-0.81338,-48.95588,S 0 48 48.17,O 48 57 21.17,Cachoeira do Arari,1502004,PA,3115,73.7,0.0,285.2,22.7,0.0,2267.7,465.7,100
 115,-1.65367,-48.05474,S 1 39 13.21,O 48 3 17.06,Bujaru,1501907,PA,1010,668.0,1.3,270.9,0.0,0.0,11.8,59.3,100
 116,-1.15638,-50.43788,S 1 9 22.97,O 50 26 16.37,Breves,1501808,PA,9572,548.5,1.9,7772.6,141.8,0.0,86.2,1022.9,100
 117,-3.75686,-49.46757,S 3 45 24.70,O 49 28 3.25,Breu Branco,1501782,PA,3953,2852.7,12.2,836.5,0.0,0.0,0.9,262.9,100
