datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TUCUMA,Amazonia,7,0,1,-6.82,-51.701,63.4
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TUCUMA,Amazonia,7,0,1,-6.813,-51.709,43.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MARAPANIM,Amazonia,4,0,0.6,-1.042,-47.762,35.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MARAPANIM,Amazonia,4,0,0.7,-0.955,-47.725,13.9
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PONTA DE PEDRAS,Amazonia,5,0,0.9,-0.998,-49.15,37
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,AURORA DO PARA,Amazonia,5,0,0.7,-2.234,-47.916,26.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,AURORA DO PARA,Amazonia,5,0,0.8,-2.292,-48.006,21.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,AURORA DO PARA,Amazonia,5,0,0.7,-2.232,-47.901,24.1
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,TOME-ACU,Amazonia,4,0,0.7,-2.23,-48.222,39.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,3,0,0.6,-2.226,-50.544,35.8
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,TOME-ACU,Amazonia,4,0,0.6,-2.226,-48.338,17.6
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,4,0.2,0.4,-2.116,-48.678,29.4
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,4,0.2,0.4,-2.111,-48.69,53.3
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,4,0.1,0.4,-2.073,-48.718,17.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,4,0.1,0.1,-1.931,-48.711,14.5
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.1,0.2,-1.906,-48.276,99.7
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1,0.2,-1.893,-48.262,31
2020/09/17 16:30:00,AQUA_M-T,Brasil,PARA,ACARA,Amazonia,3,1.5,0.2,-1.884,-48.347,10.9
